  1.00000000000000002E-003
  2.00000000000000004E-003         501
   0.1756203352   0.0000000000   0.0000000000
   0.1755661461   0.0000000000   0.0000000000
   0.1755118400   0.0000000000   0.0000000000
   0.1754574166   0.0000000000   0.0000000000
   0.1754028751   0.0000000000   0.0000000000
   0.1753482152   0.0000000000   0.0000000000
   0.1752934362   0.0000000000   0.0000000000
   0.1752385375   0.0000000000   0.0000000000
   0.1751835186   0.0000000000   0.0000000000
   0.1751283789   0.0000000000   0.0000000000
   0.1750731179   0.0000000000   0.0000000000
   0.1750177349   0.0000000000   0.0000000000
   0.1749622294   0.0000000000   0.0000000000
   0.1749066009   0.0000000000   0.0000000000
   0.1748508486   0.0000000000   0.0000000000
   0.1747949720   0.0000000000   0.0000000000
   0.1747389706   0.0000000000   0.0000000000
   0.1746828436   0.0000000000   0.0000000000
   0.1746265906   0.0000000000   0.0000000000
   0.1745702108   0.0000000000   0.0000000000
   0.1745137037   0.0000000000   0.0000000000
   0.1744570687   0.0000000000   0.0000000000
   0.1744003050   0.0000000000   0.0000000000
   0.1743434122   0.0000000000   0.0000000000
   0.1742863895   0.0000000000   0.0000000000
   0.1742292363   0.0000000000   0.0000000000
   0.1741719520   0.0000000000   0.0000000000
   0.1741145359   0.0000000000   0.0000000000
   0.1740569874   0.0000000000   0.0000000000
   0.1739993057   0.0000000000   0.0000000000
   0.1739414903   0.0000000000   0.0000000000
   0.1738835404   0.0000000000   0.0000000000
   0.1738254554   0.0000000000   0.0000000000
   0.1737672346   0.0000000000   0.0000000000
   0.1737088774   0.0000000000   0.0000000000
   0.1736503829   0.0000000000   0.0000000000
   0.1735917506   0.0000000000   0.0000000000
   0.1735329797   0.0000000000   0.0000000000
   0.1734740695   0.0000000000   0.0000000000
   0.1734150193   0.0000000000   0.0000000000
   0.1733558284   0.0000000000   0.0000000000
   0.1732964960   0.0000000000   0.0000000000
   0.1732370215   0.0000000000   0.0000000000
   0.1731774040   0.0000000000   0.0000000000
   0.1731176429   0.0000000000   0.0000000000
   0.1730577374   0.0000000000   0.0000000000
   0.1729976867   0.0000000000   0.0000000000
   0.1729374902   0.0000000000   0.0000000000
   0.1728771469   0.0000000000   0.0000000000
   0.1728166561   0.0000000000   0.0000000000
   0.1727560172   0.0000000000   0.0000000000
   0.1726952292   0.0000000000   0.0000000000
   0.1726342914   0.0000000000   0.0000000000
   0.1725732029   0.0000000000   0.0000000000
   0.1725119631   0.0000000000   0.0000000000
   0.1724505710   0.0000000000   0.0000000000
   0.1723890259   0.0000000000   0.0000000000
   0.1723273269   0.0000000000   0.0000000000
   0.1722654732   0.0000000000   0.0000000000
   0.1722034640   0.0000000000   0.0000000000
   0.1721412984   0.0000000000   0.0000000000
   0.1720789756   0.0000000000   0.0000000000
   0.1720164946   0.0000000000   0.0000000000
   0.1719538547   0.0000000000   0.0000000000
   0.1718910549   0.0000000000   0.0000000000
   0.1718280945   0.0000000000   0.0000000000
   0.1717649724   0.0000000000   0.0000000000
   0.1717016878   0.0000000000   0.0000000000
   0.1716382398   0.0000000000   0.0000000000
   0.1715746275   0.0000000000   0.0000000000
   0.1715108500   0.0000000000   0.0000000000
   0.1714469062   0.0000000000   0.0000000000
   0.1713827954   0.0000000000   0.0000000000
   0.1713185166   0.0000000000   0.0000000000
   0.1712540687   0.0000000000   0.0000000000
   0.1711894509   0.0000000000   0.0000000000
   0.1711246622   0.0000000000   0.0000000000
   0.1710597015   0.0000000000   0.0000000000
   0.1709945680   0.0000000000   0.0000000000
   0.1709292606   0.0000000000   0.0000000000
   0.1708637784   0.0000000000   0.0000000000
   0.1707981202   0.0000000000   0.0000000000
   0.1707322851   0.0000000000   0.0000000000
   0.1706662721   0.0000000000   0.0000000000
   0.1706000801   0.0000000000   0.0000000000
   0.1705337081   0.0000000000   0.0000000000
   0.1704671550   0.0000000000   0.0000000000
   0.1704004198   0.0000000000   0.0000000000
   0.1703335013   0.0000000000   0.0000000000
   0.1702663985   0.0000000000   0.0000000000
   0.1701991104   0.0000000000   0.0000000000
   0.1701316357   0.0000000000   0.0000000000
   0.1700639733   0.0000000000   0.0000000000
   0.1699961222   0.0000000000   0.0000000000
   0.1699280813   0.0000000000   0.0000000000
   0.1698598493   0.0000000000   0.0000000000
   0.1697914251   0.0000000000   0.0000000000
   0.1697228075   0.0000000000   0.0000000000
   0.1696539954   0.0000000000   0.0000000000
   0.1695849875   0.0000000000   0.0000000000
   0.1695157828   0.0000000000   0.0000000000
   0.1694463798   0.0000000000   0.0000000000
   0.1693767776   0.0000000000   0.0000000000
   0.1693069747   0.0000000000   0.0000000000
   0.1692369699   0.0000000000   0.0000000000
   0.1691667621   0.0000000000   0.0000000000
   0.1690963498   0.0000000000   0.0000000000
   0.1690257319   0.0000000000   0.0000000000
   0.1689549071   0.0000000000   0.0000000000
   0.1688838739   0.0000000000   0.0000000000
   0.1688126312   0.0000000000   0.0000000000
   0.1687411776   0.0000000000   0.0000000000
   0.1686695117   0.0000000000   0.0000000000
   0.1685976321   0.0000000000   0.0000000000
   0.1685255376   0.0000000000   0.0000000000
   0.1684532267   0.0000000000   0.0000000000
   0.1683806979   0.0000000000   0.0000000000
   0.1683079500   0.0000000000   0.0000000000
   0.1682349815   0.0000000000   0.0000000000
   0.1681617908   0.0000000000   0.0000000000
   0.1680883767   0.0000000000   0.0000000000
   0.1680147375   0.0000000000   0.0000000000
   0.1679408719   0.0000000000   0.0000000000
   0.1678667782   0.0000000000   0.0000000000
   0.1677924551   0.0000000000   0.0000000000
   0.1677179009   0.0000000000   0.0000000000
   0.1676431142   0.0000000000   0.0000000000
   0.1675680932   0.0000000000   0.0000000000
   0.1674928366   0.0000000000   0.0000000000
   0.1674173426   0.0000000000   0.0000000000
   0.1673416097   0.0000000000   0.0000000000
   0.1672656363   0.0000000000   0.0000000000
   0.1671894206   0.0000000000   0.0000000000
   0.1671129610   0.0000000000   0.0000000000
   0.1670362559   0.0000000000   0.0000000000
   0.1669593035   0.0000000000   0.0000000000
   0.1668821022   0.0000000000   0.0000000000
   0.1668046501   0.0000000000   0.0000000000
   0.1667269456   0.0000000000   0.0000000000
   0.1666489868   0.0000000000   0.0000000000
   0.1665707721   0.0000000000   0.0000000000
   0.1664922995   0.0000000000   0.0000000000
   0.1664135672   0.0000000000   0.0000000000
   0.1663345734   0.0000000000   0.0000000000
   0.1662553162   0.0000000000   0.0000000000
   0.1661757938   0.0000000000   0.0000000000
   0.1660960041   0.0000000000   0.0000000000
   0.1660159454   0.0000000000   0.0000000000
   0.1659356155   0.0000000000   0.0000000000
   0.1658550126   0.0000000000   0.0000000000
   0.1657741347   0.0000000000   0.0000000000
   0.1656929797   0.0000000000   0.0000000000
   0.1656115456   0.0000000000   0.0000000000
   0.1655298303   0.0000000000   0.0000000000
   0.1654478317   0.0000000000   0.0000000000
   0.1653655478   0.0000000000   0.0000000000
   0.1652829763   0.0000000000   0.0000000000
   0.1652001152   0.0000000000   0.0000000000
   0.1651169622   0.0000000000   0.0000000000
   0.1650335151   0.0000000000   0.0000000000
   0.1649497718   0.0000000000   0.0000000000
   0.1648657298   0.0000000000   0.0000000000
   0.1647813870   0.0000000000   0.0000000000
   0.1646967409   0.0000000000   0.0000000000
   0.1646117894   0.0000000000   0.0000000000
   0.1645265300   0.0000000000   0.0000000000
   0.1644409602   0.0000000000   0.0000000000
   0.1643550777   0.0000000000   0.0000000000
   0.1642688801   0.0000000000   0.0000000000
   0.1641823647   0.0000000000   0.0000000000
   0.1640955292   0.0000000000   0.0000000000
   0.1640083710   0.0000000000   0.0000000000
   0.1639208874   0.0000000000   0.0000000000
   0.1638330759   0.0000000000   0.0000000000
   0.1637449338   0.0000000000   0.0000000000
   0.1636564585   0.0000000000   0.0000000000
   0.1635676472   0.0000000000   0.0000000000
   0.1634784972   0.0000000000   0.0000000000
   0.1633890057   0.0000000000   0.0000000000
   0.1632991700   0.0000000000   0.0000000000
   0.1632089871   0.0000000000   0.0000000000
   0.1631184543   0.0000000000   0.0000000000
   0.1630275684   0.0000000000   0.0000000000
   0.1629363267   0.0000000000   0.0000000000
   0.1628447262   0.0000000000   0.0000000000
   0.1627527637   0.0000000000   0.0000000000
   0.1626604362   0.0000000000   0.0000000000
   0.1625677406   0.0000000000   0.0000000000
   0.1624746738   0.0000000000   0.0000000000
   0.1623812325   0.0000000000   0.0000000000
   0.1622874135   0.0000000000   0.0000000000
   0.1621932136   0.0000000000   0.0000000000
   0.1620986294   0.0000000000   0.0000000000
   0.1620036576   0.0000000000   0.0000000000
   0.1619082947   0.0000000000   0.0000000000
   0.1618125372   0.0000000000   0.0000000000
   0.1617163818   0.0000000000   0.0000000000
   0.1616198248   0.0000000000   0.0000000000
   0.1615228626   0.0000000000   0.0000000000
   0.1614254916   0.0000000000   0.0000000000
   0.1613277080   0.0000000000   0.0000000000
   0.1612295082   0.0000000000   0.0000000000
   0.1611308883   0.0000000000   0.0000000000
   0.1610318445   0.0000000000   0.0000000000
   0.1609323728   0.0000000000   0.0000000000
   0.1608324693   0.0000000000   0.0000000000
   0.1607321300   0.0000000000   0.0000000000
   0.1606313508   0.0000000000   0.0000000000
   0.1605301275   0.0000000000   0.0000000000
   0.1604284559   0.0000000000   0.0000000000
   0.1603263319   0.0000000000   0.0000000000
   0.1602237510   0.0000000000   0.0000000000
   0.1601207089   0.0000000000   0.0000000000
   0.1600172012   0.0000000000   0.0000000000
   0.1599132232   0.0000000000   0.0000000000
   0.1598087706   0.0000000000   0.0000000000
   0.1597038385   0.0000000000   0.0000000000
   0.1595984223   0.0000000000   0.0000000000
   0.1594925172   0.0000000000   0.0000000000
   0.1593861183   0.0000000000   0.0000000000
   0.1592792207   0.0000000000   0.0000000000
   0.1591718194   0.0000000000   0.0000000000
   0.1590639093   0.0000000000   0.0000000000
   0.1589554852   0.0000000000   0.0000000000
   0.1588465419   0.0000000000   0.0000000000
   0.1587370740   0.0000000000   0.0000000000
   0.1586270762   0.0000000000   0.0000000000
   0.1585165429   0.0000000000   0.0000000000
   0.1584054686   0.0000000000   0.0000000000
   0.1582938475   0.0000000000   0.0000000000
   0.1581816740   0.0000000000   0.0000000000
   0.1580689421   0.0000000000   0.0000000000
   0.1579556459   0.0000000000   0.0000000000
   0.1578417794   0.0000000000   0.0000000000
   0.1577273364   0.0000000000   0.0000000000
   0.1576123106   0.0000000000   0.0000000000
   0.1574966957   0.0000000000   0.0000000000
   0.1573804853   0.0000000000   0.0000000000
   0.1572636727   0.0000000000   0.0000000000
   0.1571462513   0.0000000000   0.0000000000
   0.1570282142   0.0000000000   0.0000000000
   0.1569095547   0.0000000000   0.0000000000
   0.1567902656   0.0000000000   0.0000000000
   0.1566703398   0.0000000000   0.0000000000
   0.1565497700   0.0000000000   0.0000000000
   0.1564285489   0.0000000000   0.0000000000
   0.1563066688   0.0000000000   0.0000000000
   0.1561841222   0.0000000000   0.0000000000
   0.1560609012   0.0000000000   0.0000000000
   0.1559369979   0.0000000000   0.0000000000
   0.1558124042   0.0000000000   0.0000000000
   0.1556871118   0.0000000000   0.0000000000
   0.1555611125   0.0000000000   0.0000000000
   0.1554343976   0.0000000000   0.0000000000
   0.1553069584   0.0000000000   0.0000000000
   0.1551787862   0.0000000000   0.0000000000
   0.1550498719   0.0000000000   0.0000000000
   0.1549202062   0.0000000000   0.0000000000
   0.1547897799   0.0000000000   0.0000000000
   0.1546585834   0.0000000000   0.0000000000
   0.1545266070   0.0000000000   0.0000000000
   0.1543938408   0.0000000000   0.0000000000
   0.1542602746   0.0000000000   0.0000000000
   0.1541258981   0.0000000000   0.0000000000
   0.1539907009   0.0000000000   0.0000000000
   0.1538546723   0.0000000000   0.0000000000
   0.1537178012   0.0000000000   0.0000000000
   0.1535800766   0.0000000000   0.0000000000
   0.1534414871   0.0000000000   0.0000000000
   0.1533020211   0.0000000000   0.0000000000
   0.1531616667   0.0000000000   0.0000000000
   0.1530204118   0.0000000000   0.0000000000
   0.1528782442   0.0000000000   0.0000000000
   0.1527351512   0.0000000000   0.0000000000
   0.1525911199   0.0000000000   0.0000000000
   0.1524461372   0.0000000000   0.0000000000
   0.1523001897   0.0000000000   0.0000000000
   0.1521532637   0.0000000000   0.0000000000
   0.1520053451   0.0000000000   0.0000000000
   0.1518564197   0.0000000000   0.0000000000
   0.1517064729   0.0000000000   0.0000000000
   0.1515554895   0.0000000000   0.0000000000
   0.1514034545   0.0000000000   0.0000000000
   0.1512503521   0.0000000000   0.0000000000
   0.1510961663   0.0000000000   0.0000000000
   0.1509408809   0.0000000000   0.0000000000
   0.1507844790   0.0000000000   0.0000000000
   0.1506269435   0.0000000000   0.0000000000
   0.1504682569   0.0000000000   0.0000000000
   0.1503084013   0.0000000000   0.0000000000
   0.1501473582   0.0000000000   0.0000000000
   0.1499851089   0.0000000000   0.0000000000
   0.1498216342   0.0000000000   0.0000000000
   0.1496569141   0.0000000000   0.0000000000
   0.1494909287   0.0000000000   0.0000000000
   0.1493236570   0.0000000000   0.0000000000
   0.1491550779   0.0000000000   0.0000000000
   0.1489851696   0.0000000000   0.0000000000
   0.1488139097   0.0000000000   0.0000000000
   0.1486412753   0.0000000000   0.0000000000
   0.1484672429   0.0000000000   0.0000000000
   0.1482917884   0.0000000000   0.0000000000
   0.1481148870   0.0000000000   0.0000000000
   0.1479365133   0.0000000000   0.0000000000
   0.1477566411   0.0000000000   0.0000000000
   0.1475752437   0.0000000000   0.0000000000
   0.1473922936   0.0000000000   0.0000000000
   0.1472077623   0.0000000000   0.0000000000
   0.1470216209   0.0000000000   0.0000000000
   0.1468338393   0.0000000000   0.0000000000
   0.1466443867   0.0000000000   0.0000000000
   0.1464532317   0.0000000000   0.0000000000
   0.1462603415   0.0000000000   0.0000000000
   0.1460656826   0.0000000000   0.0000000000
   0.1458692205   0.0000000000   0.0000000000
   0.1456709196   0.0000000000   0.0000000000
   0.1454707434   0.0000000000   0.0000000000
   0.1452686540   0.0000000000   0.0000000000
   0.1450646126   0.0000000000   0.0000000000
   0.1448585790   0.0000000000   0.0000000000
   0.1446505118   0.0000000000   0.0000000000
   0.1444403684   0.0000000000   0.0000000000
   0.1442281046   0.0000000000   0.0000000000
   0.1440136750   0.0000000000   0.0000000000
   0.1437970325   0.0000000000   0.0000000000
   0.1435781286   0.0000000000   0.0000000000
   0.1433569130   0.0000000000   0.0000000000
   0.1431333339   0.0000000000   0.0000000000
   0.1429073375   0.0000000000   0.0000000000
   0.1426788683   0.0000000000   0.0000000000
   0.1424478688   0.0000000000   0.0000000000
   0.1422142794   0.0000000000   0.0000000000
   0.1419780382   0.0000000000   0.0000000000
   0.1417390815   0.0000000000   0.0000000000
   0.1414973428   0.0000000000   0.0000000000
   0.1412527532   0.0000000000   0.0000000000
   0.1410052414   0.0000000000   0.0000000000
   0.1407547331   0.0000000000   0.0000000000
   0.1405011513   0.0000000000   0.0000000000
   0.1402444158   0.0000000000   0.0000000000
   0.1399844433   0.0000000000   0.0000000000
   0.1397211470   0.0000000000   0.0000000000
   0.1394544369   0.0000000000   0.0000000000
   0.1391842187   0.0000000000   0.0000000000
   0.1389103945   0.0000000000   0.0000000000
   0.1386328621   0.0000000000   0.0000000000
   0.1383515148   0.0000000000   0.0000000000
   0.1380662413   0.0000000000   0.0000000000
   0.1377769253   0.0000000000   0.0000000000
   0.1374834449   0.0000000000   0.0000000000
   0.1371856731   0.0000000000   0.0000000000
   0.1368834765   0.0000000000   0.0000000000
   0.1365767155   0.0000000000   0.0000000000
   0.1362652438   0.0000000000   0.0000000000
   0.1359489078   0.0000000000   0.0000000000
   0.1356275462   0.0000000000   0.0000000000
   0.1353009894   0.0000000000   0.0000000000
   0.1349690593   0.0000000000   0.0000000000
   0.1346315680   0.0000000000   0.0000000000
   0.1342883177   0.0000000000   0.0000000000
   0.1339390999   0.0000000000   0.0000000000
   0.1335836943   0.0000000000   0.0000000000
   0.1332218680   0.0000000000   0.0000000000
   0.1328533749   0.0000000000   0.0000000000
   0.1324779540   0.0000000000   0.0000000000
   0.1320953290   0.0000000000   0.0000000000
   0.1317052061   0.0000000000   0.0000000000
   0.1313072734   0.0000000000   0.0000000000
   0.1309011989   0.0000000000   0.0000000000
   0.1304866287   0.0000000000   0.0000000000
   0.1300631853   0.0000000000   0.0000000000
   0.1296304652   0.0000000000   0.0000000000
   0.1291880366   0.0000000000   0.0000000000
   0.1287354366   0.0000000000   0.0000000000
   0.1282721683   0.0000000000   0.0000000000
   0.1277976970   0.0000000000   0.0000000000
   0.1273114467   0.0000000000   0.0000000000
   0.1268127954   0.0000000000   0.0000000000
   0.1263010704   0.0000000000   0.0000000000
   0.1257755420   0.0000000000   0.0000000000
   0.1252354179   0.0000000000   0.0000000000
   0.1246798345   0.0000000000   0.0000000000
   0.1241078491   0.0000000000   0.0000000000
   0.1235184298   0.0000000000   0.0000000000
   0.1229104430   0.0000000000   0.0000000000
   0.1222826408   0.0000000000   0.0000000000
   0.1216336441   0.0000000000   0.0000000000
   0.1209619238   0.0000000000   0.0000000000
   0.1202657784   0.0000000000   0.0000000000
   0.1195433068   0.0000000000   0.0000000000
   0.1187923757   0.0000000000   0.0000000000
   0.1180105803   0.0000000000   0.0000000000
   0.1171951957   0.0000000000   0.0000000000
   0.1163431178   0.0000000000   0.0000000000
   0.1154507891   0.0000000000   0.0000000000
   0.1145141053   0.0000000000   0.0000000000
   0.1135282975   0.0000000000   0.0000000000
   0.1124877799   0.0000000000   0.0000000000
   0.1113859507   0.0000000000   0.0000000000
   0.1102149298   0.0000000000   0.0000000000
   0.1089652043   0.0000000000   0.0000000000
   0.1076251417   0.0000000000   0.0000000000
   0.1061803075   0.0000000000   0.0000000000
   0.1046124807   0.0000000000   0.0000000000
   0.1028981955   0.0000000000   0.0000000000
   0.1010064994   0.0000000000   0.0000000000
   0.0988953625   0.0000000000   0.0000000000
   0.0965056201   0.0000000000   0.0000000000
   0.0937500733   0.0000000000   0.0000000000
   0.0904921483   0.0000000000   0.0000000000
   0.0864990421   0.0000000000   0.0000000000
   0.0813200743   0.0000000000   0.0000000000
   0.0738702940   0.0000000000   0.0000000000
   0.0598003745   0.0000000000   0.0000000000
